,x,y,DBH,H,Species
1,33.42884799,18.98198061,65.58075473,35,HS
2,6.434607785,42.03917558,66.1807692,35,HS
3,18.14606372,19.26604974,52.26440964,25,HS
4,27.5928278,13.89680763,32.36649327,25,HS
5,6.108164205,25.63967054,35.55579876,25,HS
6,39.51117776,5.185569089,53.0371656,25,HS
7,18.29911469,36.46410062,31.79671205,25,HS
8,25.66707557,4.623329965,31.56698561,25,HS
9,25.27469102,5.003200995,34.37392913,25,HS
10,11.16747896,8.027947252,58.85923316,25,HS
11,10.92124139,11.5923407,35.49268351,25,HS
12,22.67717331,12.86923401,50.35139634,25,HS
13,3.152824542,40.58929814,40.74983155,25,HS
14,48.9035375,10.3960484,43.53174574,25,HS
15,44.45650912,36.63937052,30.29293082,25,HS
16,18.40871825,19.84809558,34.42979007,25,HS
17,37.78214415,18.2801837,38.51658217,25,HS
18,10.2223582,0.351242186,35.39618141,25,LS
19,23.31211477,6.181710574,40.81870873,25,LS
20,3.754058492,32.32503755,33.63010586,25,LS
21,28.33641012,6.57448821,39.98553486,25,LS
22,6.851069152,9.605310322,54.61049787,25,LS
23,33.37522213,36.76574429,34.22769566,25,LS
24,44.93382799,0.679139874,56.57313449,25,LS
25,1.531849115,24.52149062,34.45361248,25,LS
26,40.23673822,11.20099608,58.90364732,25,LS
27,16.31136896,25.04853498,48.07339604,25,LS
28,31.41985296,6.278545153,52.0888911,25,ZD
29,46.07715673,27.88024427,51.48179545,25,ZD
30,0.214901334,46.63238089,59.69902365,25,ZD
31,48.31910629,30.09554668,52.97270653,25,ZD
32,25.64614557,8.146945888,30.9730531,25,ZD
33,37.09485802,34.35328221,45.91319111,25,ZD
34,15.70412044,49.48230548,57.6855237,25,ZD
35,9.092642402,24.83289167,45.3827391,25,ZD
36,10.18809181,36.03750695,58.16463724,25,ZD
37,6.619021203,46.73385557,44.88034828,25,ZD
38,27.86635723,22.07685958,51.73629012,25,SMQ
39,15.33661097,16.21493788,42.41976083,25,SMQ
40,27.93414956,11.31199789,57.30656574,25,SMQ
41,27.96852884,10.70137713,31.98886867,25,SMQ
42,30.46060818,4.4862904,31.22399628,25,SMQ
43,27.41827941,5.003794993,20.83706277,15,SMQ
44,44.43961129,28.88744326,10.62589756,15,SMQ
45,34.87012602,10.98914971,26.20908586,15,SMQ
46,29.36635704,24.85329225,21.75095605,15,SMQ
47,39.09403316,21.36694619,14.55820255,15,SMQ
48,37.84619226,0.879848504,25.23866143,15,SMQ
49,40.89749677,15.10463353,15.41021179,15,SMQ
50,43.71706309,12.44523227,24.45391408,15,SMQ
51,44.24181348,15.50117346,19.80580515,15,SMQ
52,34.79432805,15.78937095,13.23042348,15,SMQ
53,44.70956826,16.82440971,11.87348804,15,SMQ
54,32.14419499,10.41552322,16.80001771,15,SMQ
55,40.18923327,20.65590823,24.1114538,15,SMQ
56,45.156939,11.78492855,29.90921115,15,SMQ
57,31.13588959,4.401661456,25.61920522,15,SMQ
58,41.93160327,12.63852738,19.93343006,15,SMQ
59,38.10896693,6.220653642,27.3085297,15,SMQ
60,44.10615569,15.509796,13.45153612,15,SMQ
61,43.93753588,4.881502956,15.78907289,15,SMQ
62,43.97797245,1.631395495,16.65474769,15,SMQ
63,42.86738061,10.63590128,23.26235841,15,SMQ
64,40.81957736,8.640199923,29.29036206,15,SMQ
65,35.08048096,24.02414664,22.26127409,15,SMQ
66,23.95792389,14.20347923,12.86044502,15,SMQ
67,45.54925277,13.87573843,28.78407275,15,SMQ
68,27.74982759,42.50043151,27.55745139,15,SMQ
69,16.9513238,39.25118947,11.31134627,15,SMQ
70,7.84286086,35.16624457,18.10041755,15,SMQ
71,21.58219158,46.18103411,15.72270122,15,SMQ
72,9.893288708,38.47246171,18.59186637,15,SMQ
73,21.43020643,47.57219411,24.53158825,15,SMQ
74,16.08717869,38.74379875,17.15728913,15,SMQ
75,27.30223661,30.33213789,21.89513448,15,SMQ
76,11.65373139,37.97886348,17.06037127,15,SMQ
77,8.943617844,40.06327263,17.96253167,15,SMQ
78,6.287277362,39.49144371,28.77878219,15,SMQ
79,5.321302894,47.47205061,26.74021496,15,SMQ
80,4.482816148,40.1074313,23.33830575,15,SMQ
81,17.40191046,37.36730223,22.30688873,15,SMQ
82,14.47045283,41.0565769,20.47602245,15,SMQ
83,15.42748254,48.21227971,19.45924466,15,SMQ
84,10.79725578,43.95289496,24.10532892,15,SMQ
85,1.331600326,48.4359719,27.00166668,15,SMQ
86,19.40268718,38.75026837,24.92960818,15,SMQ
87,20.85252984,43.60545034,12.54165704,15,SMQ
88,10.36951835,42.6703659,20.99595919,15,SMQ
89,11.90010012,23.55151789,25.59183182,15,SMQ
90,7.873993949,39.02047706,16.82047874,15,SMQ
91,12.90908665,40.73604484,15.75575232,15,SMQ
92,14.88742149,28.95332387,19.38240086,15,SMQ
93,39.64364237,40.98114224,9.934820225,8,LS
94,49.61224177,34.02107381,8.551500426,8,LS
95,46.5867969,37.33223123,5.193316309,8,LS
96,49,48.3085792,8.632041356,8,LS
97,29.08525426,41.11792231,6.165639418,8,LS
98,29.02065649,34.80735126,9.694307443,8,LS
99,28.77705629,37.61786019,9.306080438,8,LS
100,38.6189406,33.94300264,8.82211245,8,LS
101,45.93655532,22.44225324,6.603458668,8,LS
102,36.61245569,23.82822809,6.482322243,8,LS
103,42.8625806,7.132963383,8.337840366,8,LS
104,32.63577003,21.97315063,7.542602698,8,LS
105,11.73055486,2.226940079,6.781676301,8,LS
106,5.187562207,1,8.702627503,8,LS
107,8.4335608,0.124601657,9.224901551,8,LS
108,6.268924226,3.776478404,5.028092276,8,LS
109,49.73994402,13.3581418,5.351385729,8,LS
110,44.16811871,13.29805739,9.975785516,8,LS
111,49,21.05238388,7.792710917,8,LS
112,47.41058387,1,8.252535219,8,LS
113,49,1,9.106645556,8,HS
114,48.34296832,5.618586292,7.605253998,8,HS
115,40.54657091,8.134547272,8.666797871,8,HS
116,49,11.00045258,9.061281525,8,HS
117,6.279453331,4.23842718,5.919918758,8,HS
118,1,5.958828906,7.419849013,8,HS
119,3.841810171,12.53951185,6.657954034,8,HS
120,1.725793722,7.92061852,8.538493288,8,HS
121,41.85130624,16.16073217,7.772831947,8,HS
122,40.24283013,19.89033212,5.406923457,8,HS
123,36.50475111,15.03162569,9.628255591,8,HS
124,36.79821272,11.32183558,9.55348982,8,HS
125,31.12976166,16.20113817,8.44043985,8,HS
126,36.69978197,25.21963917,7.90382377,8,HS
127,32.71864216,11.4235729,9.530175936,8,HS
128,28.28697809,20.51597611,6.201615493,8,HS
129,17.7794649,14.82979481,8.094559107,8,HS
130,13.0119315,15.53016948,8.087603712,8,HS
131,12.88239915,15.83295282,8.933832444,8,HS
132,10.12834767,10.66490227,5.769270471,8,HS
133,3.080510703,29.29019963,8.609460612,8,ZD
134,0.907164768,25.24467628,8.010450484,8,ZD
135,1,29.85993156,5.312565326,8,ZD
136,1,31.67024696,8.310919071,8,ZD
137,18.33117145,49,7.540456534,8,ZD
138,21.41111159,46.78437103,5.504480094,8,ZD
139,18.86946932,43.54050252,8.373520469,8,ZD
140,19.78806152,46.17629953,5.829196973,8,ZD
141,7.456033804,44.42009146,8.199286099,8,ZD
142,16.66703395,47.29403202,6.212922512,8,ZD
143,12.529755,49,8.027718073,8,ZD
144,15.89839701,49,7.926028451,8,ZD
145,38.92317476,41.76651596,6.291639878,8,ZD
146,37.46575986,47.24593194,8.682011735,8,ZD
147,49.66689055,39.73308503,8.203196229,8,ZD
148,31.88173424,39.65276766,5.79561295,8,ZD
149,5.644861275,28.85357849,5.703049887,8,ZD
150,4.273919042,17.64246623,6.565413678,8,ZD
151,10.9522913,19.93846042,9.095775096,8,ZD
152,9.687768399,14.24288893,6.697895095,8,ZD
153,7.882031795,49,9.916860459,8,SMQ
154,1,44.44487607,6.899585235,8,SMQ
155,2.369587315,48.72416194,6.060309634,8,SMQ
156,5.684531218,42.17283175,7.417518187,8,SMQ
157,20.6701393,33.87470945,8.585438372,8,SMQ
158,17.34130934,28.61300056,7.200311348,8,SMQ
159,24.79633051,26.54854119,6.546524966,8,SMQ
160,25.88149219,23.08395614,7.570418786,8,SMQ
161,38.14042116,18.17010502,7.064143,8,SMQ
162,44.49970748,17.77322293,8.575502995,8,SMQ
163,41.80104908,30.4660159,8.362882513,8,SMQ
164,43.805243,18.71446807,7.256103854,8,SMQ
165,27.97422024,48.21905076,7.243758198,8,SMQ
166,27.10376128,49,8.991667827,8,SMQ
167,33.98989445,48.84097916,8.534444802,8,SMQ
168,37.34060288,49,6.711966896,8,SMQ
169,10.43868669,34.33001427,5.309605096,8,SMQ
170,8.052440258,27.1832789,9.161862666,8,SMQ
171,1,25.21464826,9.680147034,8,SMQ
172,12.14971068,29.68010727,6.772546467,8,SMQ
